YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Type,Total,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategoryId1,StratificationID1,data_StratificationCategory
2021,2021,AL,Alabama,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(32.84057112200048, -86.63186076199969)",0,BF2,Q016,VALUE,1,OVR,OVERALL,Total
2021,2021,AK,Alaska,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(64.84507995700051, -147.72205903599973)",0,BF2,Q016,VALUE,2,OVR,OVERALL,Total
2021,2021,AZ,Arizona,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(34.865970280000454, -111.76381127699972)",0,BF2,Q016,VALUE,4,OVR,OVERALL,Total
2021,2021,AR,Arkansas,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(34.74865012400045, -92.27449074299966)",0,BF2,Q016,VALUE,5,OVR,OVERALL,Total
2021,2021,CA,California,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(37.63864012300047, -120.99999953799971)",0,BF2,Q016,VALUE,6,OVR,OVERALL,Total
2021,2021,CO,Colorado,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(38.843840757000464, -106.13361092099967)",0,BF2,Q016,VALUE,8,OVR,OVERALL,Total
2021,2021,CT,Connecticut,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(41.56266102000046, -72.64984095199964)",0,BF2,Q016,VALUE,9,OVR,OVERALL,Total
2021,2021,DE,Delaware,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(39.008830667000495, -75.57774116799965)",0,BF2,Q016,VALUE,10,OVR,OVERALL,Total
2021,2021,DC,District of Columbia,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(38.89037138500049, -77.03196112699965)",0,BF2,Q016,VALUE,11,OVR,OVERALL,Total
2021,2021,FL,Florida,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",Value,Total,"(28.932040377000476, -81.92896053899966)",0,BF2,Q016,VALUE,12,OVR,OVERALL,Total
